bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_32_36	Unknown	3118161	4	2709726	52.192685454232404	95.77464788732394	1.408450704225352
Bin_32_37	Unknown	2496410	5	1752143	53.9614785251158	85.91549295774648	4.225352112676056
Bin_32_38	Unknown	3381112	12	1762214	52.69627219873483	67.6056338028169	8.450704225352112
Bin_32_4	Unknown	3265739	17	334661	54.20302950841732	94.36619718309859	11.267605633802816
Bin_32_6	Unknown	2504027	12	281192	47.672990397429146	94.36619718309859	12.67605633802817
Bin_32_7	Unknown	3142086	10	405972	52.76857288992455	81.69014084507042	28.169014084507044
Bin_32_8	Unknown	3007400	16	307024	58.76823007634876	94.36619718309859	16.901408450704224
Bin_32_9	Unknown	2628249	50	119523	52.23706886778312	74.64788732394366	15.492957746478874
Bin_33	Unknown	3512938	57	82312	40.32320894269535	78.87323943661971	23.943661971830984
Bin_34	Unknown	12766757	445	45561	28.488635419754164	45.070422535211264	18.309859154929576
Bin_35	Unknown	700876	21	46255	46.11667156616238	0.0	0.0
Bin_36	Unknown	1676444	27	89691	50.985307861561694	39.436619718309856	7.042253521126761
Bin_37	Unknown	3450494	248	27887	44.67843326996789	38.028169014084504	8.450704225352112
Bin_38_1	Unknown	2578391	29	149084	48.09668072114414	77.46478873239437	5.633802816901408
Bin_39	Unknown	2069075	45	48853	43.88467892923208	25.35211267605634	14.084507042253522
Bin_4	Unknown	590256	22	38249	54.54564889801365	25.35211267605634	1.408450704225352
Bin_40	Unknown	24941	8	4579	35.44466190376464	0.0	0.0
Bin_41	Unknown	317573	1	317573	50.6034396113883	0.0	0.0
Bin_42	Unknown	3059158	88	38762	35.70376237982582	59.15492957746479	15.492957746478874
Bin_43	Unknown	622361	53	18657	40.71173812694821	0.0	0.0
Bin_44	Unknown	2480221	80	78384	47.03868937707935	52.11267605633803	18.309859154929576
Bin_45	Unknown	8556706	359	36174	57.76570662265787	90.14084507042253	71.83098591549296
Bin_46_1	Unknown	2802511	1	2802511	39.430399354222516	97.1830985915493	14.084507042253522
Bin_47	Unknown	1032186	28	41507	40.778774242951414	0.0	0.0
Bin_48	Unknown	78088	5	59443	47.796300346200695	0.0	0.0
Bin_49	Unknown	1741413	38	66414	49.558264810192405	0.0	0.0
Bin_5	Unknown	192267	8	31449	41.242378653862154	0.0	0.0
Bin_50	Unknown	1961887	47	59155	51.63701467693917	80.28169014084507	4.225352112676056
Bin_51_1	Unknown	3753030	50	178537	49.97055628821852	78.87323943661971	11.267605633802816
Bin_51_8	Unknown	3601172	48	109546	45.68647354692973	78.87323943661971	15.492957746478874
Bin_52	Unknown	4249640	116	44921	45.56422785733572	56.33802816901409	23.943661971830984
Bin_53	Unknown	7890	1	7890	33.89100126742712	0.0	0.0
Bin_54	Unknown	66505	5	18559	42.24330850962346	0.0	0.0
Bin_55_1	Unknown	2062179	15	229538	29.080560760111098	87.32394366197182	9.859154929577464
